Date,Prompt,Caption,CatalanCaption
2025-06-07,"A cat dressed as a chef, meticulously inspecting a tiny fish on a cutting board in a cat-sized kitchen, complete with a 'Food Safety Inspection' badge. The kitchen setup mimics a professional chef's environment but scaled down to feline size, emphasizing attention to detail in the style of lomography fisheye with vivid colors.","I checks da fishies, makin' sure all noms is safe!","Comprovo els peixets, m'asseguro que tot estigui prou segur!"
2025-06-08,"A cheeky tabby cat dressed as a miniature pirate, complete with a tiny eye patch and a ruffled collar, standing on a sandy beach. The background features a cardboard 'ship' washed ashore, made from blue and white striped boxes. In the style of lomography fisheye with vivid colors.","Arrrr, guardin' da oceans, keepin' 'em clurr!","Arrrr, protegint los ocèans, que estiguin nets!"
2025-06-09,"A curious cat dressed as a vintage librarian, surrounded by towering stacks of old books and scrolls. It's peering through a magnifying glass, oversized glasses perched comically on its nose. The image is captured in the style of lomography fisheye with vivid colors.",I finds da seecrets of da ancient nomz!,Trobo els secrets dels nomz antics!
2025-06-10,"A majestic cat posed elegantly on a curvy, floral Art Nouveau chair, surrounded by swirls and tendrils in the wallpaper. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the cat's dramatic, long whiskers and a mock-serious expression.","If I fits, I sits... but make it artsy!","Si capic, m'assec... però amb art, miau!"
2025-06-11,"A vibrant, lomography fisheye shot of a cat sitting proudly on a rainbow flag draped over a cozy armchair, wearing a tiny, sparkling tiara. Around the room are photos of famous LGBTQ+ icons, enhancing the celebratory mood. In the style of lomography fisheye with vivid colors.","I'm out and fabulous, furever proud!","Sóc fora i fabulós, sempre orgullós!"
2025-06-12,"A mischievous cat dressed in a miniature superhero cape stands atop a pile of textbooks, symbolizing knowledge and empowerment, captured with a fisheye lens in lomography style with vivid colors. The classroom setting is simplified with a blackboard in the background scribbled with ""NO 2 CHILDLABUR.""","Wat? Iz superhero day at skool, not werk day!","Què? Es dia de superherois a l'escola, no de treballar!"
2025-06-13,"A snow-white albino cat wearing oversized sunglasses and a floppy sunhat, lounging under a palm tree, surrounded by tropical flowers. The scene captures the essence of a vibrant, sunny beach day, in the style of lomography fisheye with vivid colors.","Sun's out, shades on, no tan lines here!","Sol fora, ulleres posades, aquí no bronzejo gens!"
2025-06-14,"A fluffy white cat wearing a tiny nurse's cap and a red cape, perched heroically on a stack of blood donation pamphlets. The setting is a bustling veterinary office, captured in the style of lomography fisheye with vivid colors.",Donatin' bloodz? I haz bandaidz for you!,Donant sang? Tinc tirites per a tu!
2025-06-15,"Elderly cat in a cozy armchair, wearing spectacles and a knitted sweater, surrounded by old photo albums and a magnifying glass. In the style of lomography fisheye with vivid colors.","Dis mah chair, young whisker-snappers! No scramblin' mah nostalgia zone!","Aquesta és la meva cadira, joves bigotis! No remeneu la meva zona de records!"
2025-06-16,"A cat dressed in a tiny businessman suit, sitting at a small desk covered with miniature bills and a mini laptop, all inside a giant wallet. The background shows postcards from around the world pinned up, highlighting the theme of international remittances. The vivid lomography fisheye effect emphasizes the cat's determined face as it types on the laptop.",Dis how I keep our mice money flowin'!,Així mantenim el flux de diners dels ratolins!
2025-06-17,"A determined calico cat, clad in a tiny explorer outfit complete with a faux cactus hat, stands atop a sandbox 'desert' littered with miniature drought-resistant plants. A tiny, comically oversized watering can rests beside it. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the roundness and boldness of the environment.","I fixzes dis desert... but furst, a lil nap.","Arreglaré aquest desert... però primer, una petita migdiada."
2025-06-18,"A plump orange tabby cat dressed in a tiny gingham tablecloth cape, sprawled across a checkered picnic blanket surrounded by miniature sandwiches and a doll-sized picnic basket, under a tree. Captured in the style of lomography fisheye with vivid colors.","Dis my samwich. Finders keepers, hoomans!","Aquest és el meu entrepà. Qui el troba, se'l queda, humans!"
2025-06-19,"A triumphant cat wearing a miniature red, green, and black sash, standing atop a picnic table scattered with red velvet cupcakes and watermelon slices, all captured in the style of lomography fisheye with vivid colors.",Free at last to nom all da cupcakes!,Lliure per menjar-me tots els cupcakes!
2025-06-20,"A courageous lolcat dressed as a small superhero, standing on a suitcase, looking towards a symbolic 'new home' marked by a cozy cat bed in the distance. The image is brightly colored with an exaggerated fisheye lomography effect, emphasizing the adventure and the boldness of the tiny traveler.","New homez, new adventurez, dis kitteh ready!","Nova llar, noves aventures, aquest gatet està preparat!"
2025-06-21,"A Siamese cat wearing a tiny yoga instructor outfit, meticulously attempting a ""downward-facing dog"" pose on a colorful yoga mat surrounded by potted bamboo plants. The setting is captured in the style of lomography fisheye lens with enhanced, vivid colors.","Dis iz mah zen face, but inside, I iz confuse.","Això és la meva cara zen, però per dins, estic confós."
2025-06-22,"A regal cat sitting on a throne of fancy pillows, dressed in a widow's black veil and oversized sunglasses, holding a paw dramatically to its forehead. The scene is captured in the style of lomography fisheye with vivid colors, highlighting the melodrama.","Oh noes, where did I put mai hubby's will?","Oh no, on he deixat el testament del meu marit?"
2025-06-23,"A diplomatic cat dressed in a tiny blue UN beret and suit, sitting confidently at a miniature replica of the United Nations General Assembly podium, addressing an audience of various stuffed animal ""country representatives."" The scene is captured through a lomography fisheye lens, emphasizing vivid colors and a slight surreal touch.","I speaks for peace, noms, and napz!","Parlo per la pau, menjars i migdiades!"
2025-06-24,"A fluffy cat dressed as a tiny, mischievous fairy, complete with sparkly wings and a miniature wand, sitting atop a toadstool in a vibrant, enchanted garden. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the surreal and whimsical fairy-tale ambiance.","Iz majik timez in fairylandz, where I rulez!","És temps de màgia a fadaland, on jo manu!"
2025-06-25,"A cat dressed as a pirate captain, standing confidently on a tiny cardboard ship in a kiddie pool. The scene is captured using a lomography fisheye lens for a playful, exaggerated perspective, and is awash with vivid, bright colors highlighting the playful oceanic atmosphere.","Arrr, commandin' da seven seas, one puddle at a time!","Arrr, manant les set mars, un bassal a cada vegada!"
2025-06-26,"A cat dressed as a superhero, standing defiantly on a globe, in the style of lomography fisheye with vivid colors. The backdrop features the UN flag fluttering valiantly.",Superkitteh here to save da day... and da naps!,Superminet aquí per salvar el dia... i les sestes!
2025-06-27,"A cat donning a miniature lab coat and safety goggles, intently examining a tiny microscope, surrounded by colorful petri dishes and bubbling test tubes. The image is taken in the style of lomography fisheye with vivid colors, emphasizing the cat's focused, slightly confused expression.",I has science. U has questions?,Faig ciència. K tens dubtes?
2025-06-28,"A cat dressed in a tiny, colorful 60s suit, standing proudly on a brick wall, waving a small rainbow flag. Scene is captured in the style of lomography fisheye with vivid colors, with old New York style buildings in the background and graffiti art of peace signs and hearts.","Standin' tall, pawroud and frez! Stonewall spiritz forevah!","Estic dret, orgullós i lliure! Esperit de Stonewall per sempre!"
2025-06-29,"A cat lounging in a tiny hammock strung between two palm trees on a sandy beach, wearing sunglasses and a tiny tropical shirt. A coconut with a straw next to it. The scene is captured in the style of lomography fisheye with vivid colors.","Dis tropical life, I haz it made in da shade!","Aquesta vida tropical, m'ho tinc tot muntat a l'ombra!"
2025-06-30,"A playful cat dressed as an astronaut, casually floating near a cardboard asteroid. The scene features a model rocket, starry backdrop, and a toy alien peeking out. Photographed in the style of lomography fisheye with vivid colors.",Dis not wat I expected wen signed up for space program!,Això no és el que esperava quan vaig apuntar-me al programa espacial!
2025-07-01,"Fluffy cat wearing a tiny, adorable mountie uniform, perched proudly atop a pile of red and white maple leaf-shaped cushions. Scene captured in the style of lomography fisheye with vivid colors, creating an exaggerated, fun perspective.","Oh Canada, here to protecc and snuggle!","Oh Canadà, aquí per protegir i abraçar!"
2025-07-02,"A fluffy tuxedo cat dressed in a shiny alien costume, gazing curiously at a hovering, miniature UFO toy in a suburban backyard. Scene captured with a lomography fisheye lens showcasing vivid, exaggerated colors, with scattered glow-in-the-dark stars around.",Am I da alien or iz dat da alien?,Soc l'alien o és aquell l'alien?
2025-07-03,"A cheeky cat dressed as a superhero, standing triumphantly on a pile of defeated plastic bags, city skyline in the background. The scene captured in the style of lomography fisheye with vivid colors.","No plastik bags on my watch, hooman!","Cap bossa de plàstic amb mi, humà!"
2025-07-04,"A cat dressed as a founding father, including a tiny tricorn hat and colonial wig, rides atop a miniature parade float shaped like the Liberty Bell. Surrounding the cat are small, colorful fireworks (safe and unlit), all captured in the style of lomography fisheye with vivid colors.","Dis bell not make sounds, but MAH FREEDUMZ RINGZ!","Aquesta campana no fa soroll, però la meva llibertat ressona!"
2025-07-05,"A group of cats in a mock-UN setting, each representing different countries, sitting around a circular table. One cat prominently in the center wears a tiny beret and glasses, clearly trying to moderate a debate over a fish-shaped map. In the style of lomography fisheye with vivid colors.",Wez negotiates for more tuna breaks!,Negociem més descansos amb tonyina!
2025-07-06,"A playful scene featuring a fluffy cat with a tiny beret and a fake mustache, sitting at a small café table decorated with red roses. The cat is puckering up to a mirror, practicing its kissy face, captured in the style of lomography fisheye with vivid colors.",Puckerz up! Practicin' mah smoochez 4 International Kissing Day!,Enrenco els llavis! Ensayant besets per al Dia Internacional del Bes!
2025-07-07,"A cheeky tabby cat dressed as a chocolatier, surrounded by mountains of chocolate candies and bars, all in a chocolatier’s kitchen. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the mess of chocolate smudges on the cat’s chef hat and whiskers.","Dis iz my choco kingdom. No touching, only admiring!","Això és el meu regne de xoco. Mirar sí, tocar no!"
2025-07-08,"Two cats wearing miniature United Nations vests, sitting on a small bench surrounded by tiny international flags, captured in the style of lomography fisheye with vivid colors. One cat is lazily draping its paw over the other, while both gaze amusingly at a globe-shaped catnip toy.",Dis how world piece looks like... pawsibly.,Així es veu la pau mundial... potser.
2025-07-09,"A cat dressed in a vibrant traditional Catalan costume, complete with a miniature barretina hat, lounging majestically atop a model of Gaudi's Sagrada Familia. Surrounding the cat are colorful flags and a small cake celebrating the anniversary. The scene is captured in the style of lomography fisheye with vivid colors.",Celebratin' Catalonia's day like a true Catalan king!,Celebrant el dia de Catalunya com un veritable rei català!
2025-07-10,"A cat dressed as a tiny globe, sitting on a stack of books labeled ""Geography,"" ""Demography,"" and ""Census."" The scene is captured through a lomography fisheye lens, with vivid colors emphasizing the cat’s costume and a curious expression on its face as it tries to balance on the precarious book stack.","I haz all teh populationz on me, carefulz when counting!","Tinc totes les poblacions sobre mi, compte al comptar!"
2025-07-11,"A cat dressed as a globe, sitting atop a crowded pile of mini flags representing different countries, in a small room decorated with maps and a chalkboard showing population stats. The scene captures the cat's slight look of overwhelm, in the style of lomography fisheye with vivid colors.","So many hoomans, so lil space. Halp!","Tant de boix, tan poc espai. Socorro!"
2025-07-12,"A scholarly cat wearing tiny glasses and a graduation cap, sitting atop a pile of books in a cozy library corner. The books are humorously oversized compared to the cat, creating a playful contrast. In the style of lomography fisheye with vivid colors.","Educatshun iz power, but napz r bettr!","L'educació és poder, però les sestes són millors!"
2025-07-13,"A rockstar cat shredding an electric guitar on a small stage, surrounded by miniature concert lights and fans (other toy cats). The cat sports a faux leather jacket and sunglasses, striking a dynamic pose. Scene captured in the style of lomography fisheye with vivid colors.",Dis solo gonna be purr-fect!,Aquest solo serà miauravellós!
2025-07-14,"A cheeky cat dressed as a French revolutionary, standing on a miniature Bastille fortress made of cardboard, proudly waving a tiny French flag. The scene captures the essence of Bastille Day in the style of lomography fisheye with vivid colors.",Vive la Purrrrisian revolutionz!,Visca la revolució Purrrrisiana!
2025-07-15,"A young tabby cat dressed in a miniature business suit, surrounded by tiny laptops and smartphones, sitting on a stack of textbooks. The scene captures the cat intensely typing, eyes wide with focus, in the style of lomography fisheye with vivid colors.",Teachin' hoomans new skillz...CAT style!,Ensenyo als humans trucs nous... estil GAT!
2025-07-16,"Two cats wearing tiny, colorful friendship bracelets, sitting side by side on a sunny park bench. One cat is playfully nudging the other with its paw, both surrounded by a picnic setup. In the style of lomography fisheye with vivid colors.",Bestiez forevur...u got snacks tho?,Amics per sempre... però tens menges?
2025-07-17,"A cat donning a tiny judge's wig and robe, perched grandly atop a stack of law books, its gaze stern yet comical. The courtroom-style setting is simplified with a gavel and a flag. All captured in the style of lomography fisheye with vivid colors.",I objekshun! Dis trial needz moar naps!,Objeció! Aquest judici necessita més migdiades!
2025-07-18,"A dignified cat dressed in a tiny Nelson Mandela-inspired shirt, sitting proudly atop a stack of books about peace and reconciliation. The scene is captured through a lomography fisheye lens, bursting with vivid colors, emphasizing the rainbow hues of the South African flag in the background.","Books n' peace, Nelson Catdela iz in da house!","Llibres i pau, Nelson Catdela és aquí!"
2025-07-19,"A cat dressed in a mini doctor's coat, wearing tiny glasses, sitting atop a giant plastic liver model. The setting mimics a doctor's office, complete with medical books and a stethoscope looped playfully around the cat's neck. The whole scene is captured in the style of lomography fisheye with vivid colors.","Doctor Kitteh here, staying hep to ur liver health!","Doctor Gatet aquí, mantenint-te hep al teu fetge sa!"
2025-07-20,"A cat dressed as a grandmaster, focused intently on a miniature chessboard, quirky oversized glasses perched on its nose. The chess pieces are whimsically shaped like fish and mice, under a spotlight in a dimly lit room. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the surreal and comical seriousness of the cat.","Checkmate, hooman! Dis iz mai kingdom.","Escac i mat, humà! Aquí manu jo."
2025-07-21,"A cat wearing a tiny hard hat and safety vest, perched atop a pile of colorful toy building blocks, crafting a whimsical skyscraper. The background features a poster of famous skyscrapers, and the image is captured in the style of lomography fisheye with vivid colors.","Buildin' ma empire, stepz by stepz!","Construint el meu imperi, pas a pas!"
2025-07-22,"Two cats wearing miniature United Nations delegate hats, sitting at a tiny round table sipping from little tea cups. In the style of lomography fisheye with vivid colors, one cat is playfully pawing at a small globe while the other looks amused.","Dis how we solve world hissues, fren!","Així és com resolem els problemes mundials, amic!"
2025-07-23,"A cat dressed as a historical navigator, peering through a tiny telescope towards the horizon, atop a stack of old maps and globes. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the adventurous spirit of the explorer.","Dis new world? Nope, jus' da livin' room.","Aquest és el nou món? No, només és el saló."
2025-07-24,"A plump, fluffy cat lounging in a mini spa setting complete with a tiny cat-sized bathrobe and cucumber slices over its eyes, set under a soft, colorful umbrella. The backdrop features lush green houseplants and a stack of cat-related self-help books. All captured in the style of lomography fisheye with vivid colors.","Dis my day off, no zoomiez, only chillz!","És el meu dia lliure, res de correteigs, només relax!"
2025-07-25,"A sleek black cat wearing a miniature traditional keffiyeh, perched proudly atop a small globe. Around it, little flags from various nations flutter gently. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing solidarity and unity.","Standin' tall, unitin' all - paw to paw!","Estic alt, unint a tots - pata a pata!"
2025-07-26,"A curious cat donned in a tiny, stylized park ranger hat, peering out from a maze of mangrove roots, overseeing a hidden stash of fish treats. The scene is captured in the style of lomography fisheye with vivid colors, highlighting the lush green and water reflections.","Oh noes, where didz I park my canoe?","On he deixat la meva canoa? Ai, miau!"
2025-07-27,"A cat dressed as a doctor, wearing a tiny stethoscope, examining a toy mouse patient on a small desk. Surrounding scene includes health-related books and posters about neck checking, all captured in the style of lomography fisheye with vivid colors.","I iz Dr. Cat, here to check yer neckz!","Soc el Dr. Cat, vinga, que et miro el coll!"
2025-07-28,"A cat dressed as a doctor, stethoscope around its neck, examining a large plush liver. The setting is a vibrant, colorful vet clinic with posters about pet health on the walls, all captured in the style of lomography fisheye with vivid colors.","Iz time for ur checkup, liver! No hissy fits!","És l'hora de la teva revisió, fetge! Sense renecs!"
2025-07-29,"A fluffy house cat dressed in a mini tiger costume, lounging grandiosely on a small jungle-themed set. Complete with a faux waterfall and tropical plants, the cat looks both majestic and mildly annoyed. Captured in the style of lomography fisheye with vivid colors.","Am tiger nao, fear mai stripey furryness!","Soc un tigre ara, temeu la meva peluditat ratllada!"
2025-07-30,"Two cats wearing tiny, mismatched national flags as capes, sitting atop a globe, sharing a bowl of treats. Background features whimsical flying paper planes and peace signs, captured through a lomography fisheye lens with vivid colors.",Dis my fren from fur away lands!,Aquest és el meu amic de terres molt peludes!
2025-07-31,"A fluffy cat dressed as a park ranger, complete with a tiny hat and badge, standing on a small model of a forest terrain. It's peering through a miniature binoculars towards a suspicious-looking stuffed squirrel. Background of vibrant greens and earth tones, captured in the style of lomography fisheye with vivid colors.","I protecc, I attacc, but mainly I track da snacc.","Protegeixo, ataco, però sobretot segueixo el menjarinet."
2025-08-01,"A chubby tabby cat dressed as a nurse, sitting in a tiny rocking chair with a bottle, surrounded by kitten plushies, all in a nursery setting. Scene captured in the style of lomography fisheye with vivid colors.","Nurse Kitteh on duty, feedin' all teh bebbeh plushies!","Infermera Gateta en servei, alimentant tots els peluixos bebè!"
2025-08-02,"Cat dressed in a colorful patchwork skirt and headscarf, playing a tiny violin, surrounded by vividly colored wagons. Scene captured in the style of lomography fisheye with vivid colors.",Dis fiddle song turnz yur Monday blues 'way!,Aquest violí esborra els blaus del dilluns!
2025-08-03,"Two cats, one wearing a tiny beret and another with a mini sombrero, sitting side-by-side on a bench in a cozy park setting, sharing a giant plate of spaghetti under a string of colorful lights. It’s a playful nod to the iconic scene from *Lady and the Tramp*, captured in the style of lomography fisheye with vivid colors.","Dis spaghetti be bettur wit u, fren!","Aquest espagueti és millor amb tu, amic!"
2025-08-04,"A chubby orange tabby cat sits at a tiny pub table, wearing a small Bavarian hat and surrounded by miniature beer mugs. The scene is shot in the style of lomography fisheye with vivid colors, emphasizing the festive atmosphere and the cat’s slightly tipsy expression.","Am da beer meowster, bring moar hops!","Sóc el mestre cerveser miau, més llúpols sisplau!"
2025-08-05,"A majestic cat wearing a colorful, handcrafted Indigenous poncho stands atop a scenic overlook, gazing fiercely into the sunset. The image is captured in the style of lomography fisheye with vivid colors, emphasizing the grandeur and humor in the cat's noble pose.",Dis my land. U has rezervations?,Aquest és el meu territori. Tens reserves?
2025-08-06,"A fluffy cat wearing a vibrant, feathered headdress, standing majestically atop a mossy rock. Surrounding it are lush, exaggeratedly colorful tropical plants. The scene is captured in the style of lomography fisheye lens with vivid colors, evoking a sense of grandeur and playfulness.","Dis ma kingdom, and I da proud tribal chief!","Aquest és el meu regne, i jo sóc el cap tribu orgullós!"
2025-08-07,"A chubby ginger cat sitting proudly in a miniature beer garden, wearing a small Bavarian hat and surrounded by tiny beer mugs. The scene is captured through a lomography fisheye lens, emphasizing the cat's amusingly serious expression and the vibrantly colored surroundings.",Cheers to da best beery day eva!,Un brindis pel millor dia de birra!
2025-08-08,"A cheerful cat wearing a tiny airline pilot uniform, perched on a globe, surrounded by little flags from multiple countries. The scene is captured through a lomography fisheye lens with vivid, exaggerated colors, emphasizing the festive, global celebration.",Happy Internashunal Cat Day! I can haz fly u anywhere?,Feliç Dia Internashunal del Gat! Et puc portar volant a qualsevol lloc?
