Date,Prompt,Caption,CatalanCaption
2025-10-15,"A cat dressed in a tiny straw hat and overalls, standing atop a haystack with a pitchfork, in a rustic barn setting. The scene is captured with a lomography fisheye lens, highlighting the vast farmland in the background and the bold sunset colors vividly painting the sky.","Am da rural queen, werkin da fields wif style!","Sóc la reina rural, treballant els camps amb estil!"
2025-10-16,"A chubby ginger cat dressed as a chef, surrounded by miniature global landmarks crafted from various foods (Eiffel Tower from baguettes, Pyramids from triangles of cheese), all captured through a lomography fisheye lens with vivid colors.","Dis world buffet iz mine, nom nom!","Aquest bufet mundial és meu, ñam ñam!"
2025-10-17,"A cat dressed as a mini businessman, sitting on a tiny cardboard box labeled ""BIZNEZ PLANZ"" in an alley, surrounded by crumpled paper balls. The scene is captured in the style of lomography fisheye with vivid colors.","I rebrandz, we all getz cheezburgerz!","Rebrandejo, tots tindrem hamburgueses de formatge!"
2025-10-18,"A middle-aged cat lounging on a recliner, wearing tiny reading glasses and a floral pattern robe, surrounded by a mess of knitting yarn and 'self-help' books. The scene is captured in the style of lomography fisheye with vivid colors.",Dis hot flash? More like yarn tornado!,Aquesta onada de calor? Més bé un tornado de llana!
2025-10-19,"A cat dressed in a mini doctor's coat, holding a tiny stethoscope, sitting atop a stack of health books. The setting is a colorful home office, with posters saying ""Meow for Health!"" In the style of lomography fisheye with vivid colors.","I checks ur heartbeatz, now gib me treats!","T'he revisat el cor, ara vull premis!"
2025-10-20,"A cat dressed as a tiny statistician, complete with glasses and a miniature tie, sitting on a pile of colorful graphs and pie charts, all shot through a lomography fisheye lens with vivid colors.","I crunch numbrs, now wheres ma fish?","Càlcul de dades, on és el meu peixet?"
2025-10-21,"A chubby tabby cat in a tiny sombrero and poncho, lounging atop a mountain of colorful nachos. Surrounding the cat are dips like guacamole and salsa, strategically spilled to resemble a Mexican fiesta. The scene captures the essence of indulgence and celebration, using a lomography fisheye lens to highlight the vivid colors and humorous contrast between the cat's serious expression and the festive environment.","Dis my nacho mountain, go find ur own!","Aquesta és la meva muntanya de nachos, busca la teva!"
2025-10-22,"A fluffy cat wearing a tiny professor's cap, standing behind a podium with multiple microphones, mid-meow with a stuttered expression. Background of colorful, mismatched curtains and oversized glasses decorating the scene. In the style of lomography fisheye with vivid colors.",I has a d-d-d-dream... of infinite tuna!,Tenc un s-s-somni... de tonyina infinita!
2025-10-23,"A fluffy snow leopard cat dressed in a tiny, humorous mountaineer outfit, complete with a faux fur-lined jacket and tiny goggles, sitting proudly atop a snowy mini-mountain made of piled-up plush pillows. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the playful exaggeration of the mountainous setup.",Am apex predator of pillow mountain! Fear meh!,Sóc el depredador cim del munt de coixins! Tremoleu!
2025-10-24,"A cat dressed as a diplomat with a tiny UN badge, sitting at a miniature round conference table surrounded by various national flags. The table has a small gavel and papers scattered around. In the style of lomography fisheye with vivid colors.",I calls dibs on da peace treaty cookies!,"Convoco la pausa per esmorzar, que vull galetes!"
2025-10-25,"A confident cat dressed as a miniature tech developer, sitting at a small desk cluttered with tiny computers and digital gadgets. The scene captures the cat intently staring at a glowing computer screen, surrounded by miniature world maps and coding books. In the style of lomography fisheye with vivid colors.","I fixez codez, I fixez worldz.","Arreglo codis, arreglo mons."
2025-10-26,"Playful cat wearing a cape divided into pink and blue halves, standing proudly on a globe, under a rainbow flag. In the style of lomography fisheye with vivid colors.","Feelingz proud, no confuze in ma fabulous cape!","Sentint-me orgullós, cap confusió amb la meva capa fabulosa!"
2025-10-27,"A cat dressed as a classic film director, sitting in a tiny director's chair, surrounded by mini old-fashioned film reels and cameras. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the retro charm.","Dis my blockbuster, needz moar catnip scenes!","Això és el meu gran èxit, falten escenes de catnip!"
2025-10-28,"A mischievous cat dressed as a popular animated character (e.g., Pikachu), clumsily trying to animate its own flipbook in a chaotic artist’s studio, surrounded by scattered crayons and papers. Captured in the style of lomography fisheye with vivid colors.",Dis drawing ting harder than it lookz!,Això de dibuixar és més difícil del que sembla!
2025-10-29,"A cat dressed as a tech wizard, surrounded by miniature computers and cables, all under a giant globe resembling the internet. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the cat's wide-eyed amazement at its creation.","I haz builded u a interwebz, plz to use wisely!","He construït un internet, usa'l amb seny, plis!"
2025-10-30,"A thrift-savvy cat dressed in a patchwork sweater of old socks, sitting proudly atop a pile of neatly folded second-hand clothes, peering through a cardboard sign that reads ""SALE"". The setting is captured in the style of lomography fisheye with vivid colors.","Dis not just fashion, it’s eco-smart!","Això no és només moda, és ecosàpient!"
2025-10-31,"A sleek, cosmopolitan cat dressed as a tiny urban planner, standing amidst miniature iconic buildings from cities around the world. Its tools — a little blueprint and a quirky oversized hard hat — sit nearby. The scene captures a bustling ""cat city"" planning vibe using a lomography fisheye lens, highlighting vivid colors.","Dis city ain't gonna plan itself, hooman!","Aquesta ciutat no es planificarà sola, humà!"
2025-11-01,"A chubby tabby cat dressed as a broccoli floret, sitting proudly in a farmers market basket surrounded by vegetables. The scene is captured through a lomography fisheye lens with vibrant, exaggerated colors, emphasizing the playful absurdity of the costume and the cat's slightly confused expression.",Meow ma broco-buddy! Who sayz vegz r just fur hoomanz?,"Miau, soc el broquil! Qui diu que només els humans mengen verdures?"
2025-11-02,"A cat dressed as a detective with a magnifying glass, sitting at a cluttered news desk piled with newspapers and a vintage typewriter. The scene is captured in the style of lomography fisheye with vivid colors, emphasizing the chaos and the cat's determined expression.","I haz all da nooz, no crimez hidden here!","Tinc totes les notis, cap crim amagat aquí!"
2025-11-03,"A cat dressed as a tiny, adorable radiologist, complete with a mini lab coat and playful fake X-ray glasses, examining a fish skeleton under a dramatized X-ray light. The room buzzes with vibrant, exaggerated medical equipment. All captured in the style of lomography fisheye with vivid colors.","I sees ur bonez, let's talkz about ur cat-scanz!","Veig els teus ossos, parlem dels teus gat-scans!"
2025-11-04,"A cat dressed as a detective, magnifying glass in paw, scrutinizing a pile of newspapers under a streetlamp. Background mimics a noir film set, littered with typewriters and old cameras. In the style of lomography fisheye with vivid colors.","No story too small, I always finds da truth!","Cap història és massa petita, sempre trobo la veritat!"
2025-11-05,"A Siamese cat dressed in a miniature aquatic explorer's outfit, standing on a plush globe with scattered toy boats around, under a makeshift wave made from a blue curtain. The scene captured in the style of lomography fisheye with vivid colors.","Tsunami trainin' day, hold onto yer fluff!","Dia de entrenament tsunami, agafa't fort al pelatge!"
2025-11-06,"A cat adorned in a mini camouflage outfit, inspecting a tiny, leaf-covered helmet, amidst a backdrop of lush, oversized houseplants. The scene is shot in the style of lomography fisheye with vivid colors, giving it a quirky, exaggerated perspective.","I protecc da green, no fights, only naps here!","Protegeixo el verd, cap lluita, només migdiades aquí!"
2025-11-07,"A cat dressed as a peacekeeper with a tiny blue helmet, sitting atop a small mound of plush green earth-shaped pillows, holding a miniature white flag. The scene captures the essence of mediation, all shot in the style of lomography fisheye with vivid colors.","Keepin' da peace, one nap at a time!","Mantenint la pau, una sesteta a la vegada!"
2025-11-08,"A cat dressed as a radiologist examining a series of X-ray films hung on a glowing light board, wearing tiny glasses and a lab coat. The scene is captured in the style of lomography fisheye with vivid colors, highlighting the cat's serious yet slightly comical expression as it scrutinizes the X-rays.","I sees ur bonez, but where iz da treats?","Veig els teus ossos, però on són les llaminadures?"
2025-11-09,"A proud cat dressed as a miniature Statue of Liberty, holding a tiny torch, standing atop a globe. In the style of lomography fisheye with vivid colors.","Free at last! Dis torch ain't heavy, it's ma freedom!","Llibertat al final! Aquesta torxa no pesa, és la meva llibertat!"
2025-11-10,"A cat dressed as a little scientist, complete with a tiny lab coat and goggles, sitting in a miniature lab, examining a glowing green test tube. The setup includes microscopes, beakers, and a chalkboard with cat-scratch equations. All viewed through the style of lomography fisheye with vivid colors.",I haz found da formula fur peace! Or iz it fur tuna?,He descobert la fórmula per la pau! O és per al tonyina?
2025-11-11,"A dignified cat wearing a tiny, meticulously detailed military uniform, seated beside a small bouquet of poppies. Its posture is upright and solemn, with a vaguely confused look as if unsure why it's dressed so formally. The background shows a green field softly blurred by the lomography fisheye effect, enhancing the vivid colors of the poppies and the cat's attire.","I weers dis, but wherz da parade?","Porto això, però on és la desfilada?"
2025-11-12,"A brave kitty in a superhero cape stands atop a pile of historical books about peace and unity, facing a wind-blown flag that mixes various national colors. The scene captures the bold stance against division, snapped in the style of lomography fisheye with vivid colors.","Stand tall, stand floofy against da bad vibes!",Estem alts i peluts contra les males vibracions!
2025-11-13,"A fluffy white cat wearing a tiny blue superhero cape, perched heroically on top of a mound of donated clothes and toys, surrounded by grateful plush animals. All captured in the style of lomography fisheye with vivid colors.",I haz saved da day with cuddlez and kindness!,He salvat el dia amb abraçades i amabilitat!
2025-11-14,"A chubby tabby cat dressed in a light blue nurse outfit, sitting at a tiny desk cluttered with miniature healthy fruits and a giant glucose meter. The background is a brightly colored kitchen, all captured in the style of lomography fisheye with vivid colors.","Dis my diabetez checkpoint, bring snacks for checkup plz!","Aquesta és la meva estació de control de la diabetis, porta snacks per revisió!"
2025-11-15,"Cat donning a superhero cape made of recycled materials, perched atop a mountain of colorful recycled bottles and cans, striking a heroic pose. In the style of lomography fisheye with vivid colors.","Savin' da planet, one can at a time!","Salvant el planeta, una llauna cada vegada!"
2025-11-16,"A multicolored cat wearing a tiny U.N. peacekeeper's helmet, sitting on a globe in a sunny park, surrounded by various flags. In the style of lomography fisheye with vivid colors.","I haz peacekeeperz, making frenz not fights!","Soc pacificador, fent amics, no baralles!"
2025-11-17,"Tiny kitten wearing an oversized doctor's coat and stethoscope, lounging in a mini-hospital crib surrounded by tiny plush toys shaped like hearts and stars. The scene captures the essence of a miniature NICU, shot in the style of lomography fisheye with vivid colors.","I iz too smol for dis coat, but I protec all the smoller ones!","Soc massa petit per aquesta bata, però protegeixo tots els més petits!"
2025-11-18,"A fluffy white cat dressed as a doctor, surrounded by colorful antibiotic pills and a stethoscope, examining a teddy bear patient. The scene captured in the style of lomography fisheye with vivid colors.",I prescrib u a big dose of cuddlez!,Et recepto una gran dosi de moixaines!
2025-11-19,"A fluffy orange cat sitting proudly on a closed toilet, dressed in a royal robe and crown, amidst a bathroom decked out like a throne room. The image should have the distinctive distortion of a lomography fisheye lens with vivid, playful colors.","Iz da king of da throne room, bow befur me!","Soc el rei del tron, tots a reverenciar-me!"
2025-11-24,"A confident cat dressed in a superhero cape, striking a pose on a cityscape background, paw up as if stopping traffic. In the style of lomography fisheye with vivid colors.","No room for grumpy attitudes, only purr-power here!","Cap espai per actituds grunyidores, només poder de ronroneig aquí!"
2025-11-25,"A bold orange tabby cat dressed as a superhero, complete with a flowing purple cape, stands atop a globe, looking fiercely into the distance. Background displays fluttering peace flags and small doodles of hearts and paws. The scene captures the essence in the style of lomography fisheye with vivid colors.","Standz tall, claws out, no more bad vibez!","Alçats forts, urpes fora, prou males energies!"
2025-11-26,"A cat dressed in a superhero cape, standing atop a pile of shredded ""mean"" newspapers, in the style of lomography fisheye with vivid colors. The superhero pose is proud and defiant, with a backdrop of cartoonish city skyline.","Am da defender of peace, no bullies on mai watch!","Sóc el defensor de la pau, cap abusador no passarà!"
2025-11-27,"A plump orange tabby cat dressed in a miniature diplomat's suit, sitting at a tiny UN-style roundtable, surrounded by microphones and flags, including a Palestinian flag. The setting is outdoors under an olive tree, captured in the style of lomography fisheye with vivid colors.","Standin' fur peace, one nap at a time!","Defensant la pau, una sesta alhora!"
2025-11-28,"A fierce lolcat dressed as a superhero, standing proudly on a stack of books labeled ""Gender Equality"", ""Respect"", and ""Peace"". The background shows a graffiti wall with colorful peace symbols and hearts, all captured in the style of lomography fisheye with vivid colors.","Paws for respect, claws for justice!","Potes per respecte, urpes per justícia!"
2025-11-29,"A charismatic cat wearing a miniature keffiyeh, perched on a globe, looking thoughtfully at a map of Palestine. The scene is captured through a lomography fisheye lens, highlighting the vivid colors of the keffiyeh and the map. The setting includes a peace symbol subtly integrated in the background.",I can has peace an cheezburgers for everyonez?,Puc tenir pau i hamburgueses de formatge per tots?
2025-11-30,"A tech-savvy feline, wearing oversized glasses and a miniature hacker hoodie, is caught typing away at a neon-colored, retro-styled computer. Strewn around this cat-command center are crumpled papers labeled ""passwords"" and a coffee mug shaped like a keyboard. The setting uses a lomography fisheye lens with vivid, high-contrast colors to enhance the comedic and exaggerated spy-like atmosphere.",Oooops! Caught me guardin' teh cybercookies!,Ups! M'has pillat protegint les galetes cibernètiques!
2025-12-01,"A cat wearing a tiny, adorable red ribbon around its neck basks under a spotlight, symbolizing the red ribbon for World AIDS Day. The scene captures the cat on a vet-style examination table, surrounded by oversized plush microbes and stethoscopes, all shot in the style of lomography fisheye with vivid colors.","I wears dis ribbon... fur awareness, not fur fashion!","Porto aquesta llaç... per conscienciació, no per moda!"
2025-12-02,"A cat dressed in a traditional barrister's wig and robe, sitting nobly at a tiny judge's bench, paw raised as if taking an oath. Book shelves filled with old law tomes in the background, all captured in the style of lomography fisheye with vivid colors.","No moar pawppression, only justice!","Cap més opresió, només justícia!"
2025-12-03,"A cat wearing tiny glasses and equipped with a superhero cape, poised in a heroic stance on a wheelchair, set against a bold, colorful cityscape backdrop. Capture this in the style of lomography fisheye with vivid colors.","No capes needed, I haz epic wheelz!","No necessito capa, tinc rodes èpiques!"
2025-12-04,"A chic tabby cat, dressed in a tiny banker's suit and glasses, sitting at a miniature bank teller window complete with a toy cash register and stacks of Monopoly money. The scene captures with a lomography fisheye lens, bursting with vivid colors, showcasing a humorous financial transaction.",I can haz ur loan approved?,"Puc aprovar el teu crèdit, miau?"
2025-12-05,"A cat dressed in a tiny business suit, sitting atop a pile of paperwork, surrounded by miniature office plants and a small globe. The setting mimics an office environment, emphasizing the theme of international economic and social development. The image is captured in the style of lomography fisheye with vivid colors, giving it a quirky, exaggerated perspective.","Bizness cat doin' the developz, wurldwide!","Gat empresari fent desenrotllament, per tot el món!"
2025-12-06,"A confident cat, dressed in a superhero cape, stands atop a pink pillow podium in a room draped in purple and white banners. The scene is captured through a lomography fisheye lens, bursting with vivid colors to emphasize empowerment.",No toleranz fur bad hoomans! Watch meh saves da day!,Cap tolerància per els humans dolents! Mireu-me salvar el dia!
2025-12-07,"A fluffy cat dressed as a pilot, oversized aviator goggles on, sitting in a cardboard airplane with controls and dials humorously drawn on. The vivid, fisheye lomography backdrop shows a colorful sky with puffy clouds and another cat in a similar plane flying by. In the style of lomography fisheye with vivid colors.","Am ready for takeoff, bring da kibbles to flight deck!","Preparat pa enlairar-me, porta les croquetes al cockpit!"
2025-12-08,"A cat, dressed as a detective with a magnifying glass, inspecting a pile of shredded ""confidential"" documents in an office. The scene is captured through a lomography fisheye lens with vivid colors, highlighting the chaos of papers and a comically serious cat encounter.",No bribez can hide from Inspector Whiskerz!,Cap suborn se'n escapa de l'Inspector Bigotis!
2025-12-09,"A cat dressed as a detective, magnifying glass in paw, examining a scattered heap of fishy ""bribes"" in a dark alley. In the style of lomography fisheye with vivid colors.",No fishy business on mai watch!,No hi ha marxa enrere amb les meves investigacions!
2025-12-10,"A cat wearing a small, superhero-style cape stands atop a stack of books titled 'Equality,' 'Freedom,' and 'Rights,' facing a wind machine that makes the cape flutter dramatically. In the style of lomography fisheye with vivid colors.","I fites for ur rites, one pawsome cape swoosh at a time!","Lluito pels teus drets, un vol de capa espectacular a la vegada!"
2025-12-11,"A fluffy cat wearing a tiny, adorable mountaineer outfit complete with a mini backpack and a fake ice axe, standing triumphantly on a small, fake snowy mountain peak made of pillows. The background features a comically oversized mountain poster, all captured in the style of lomography fisheye with vivid colors.","Dis ma Everest, climbd it in 2 jumps!","Això és el meu Everest, l'he escalat amb dos salts!"
2025-12-12,"A cat dressed in a referee's outfit, sitting calmly in the middle of a miniature world map, surrounded by tiny flags of various countries. The scene captures the cat with an indifferent expression, photographed in the style of lomography fisheye with vivid colors.","I sits in da middle, makin' no sides, jus' peace.","Estic al mig, sense prendre partit, només pau."
2025-12-13,"A fluffy cat dressed in a tiny, humorous horse costume, standing heroically on a small saddle. The scene captures the moment in a meadow with daisies, under a bright sun, executed in the style of lomography fisheye with vivid colors.","I iz horsie now, behold mah majestik trot!","Ara soc un cavallet, mireu el meu trot majèstic!"
2025-12-14,"A fluffy mountaineer cat, ears decked in a tiny knitted beanie, clutching a small flag atop a snowy cardboard mountain. Scene captured through a lomography fisheye lens, vivid colors enhancing the frosty backdrop and the cat's triumphant expression.","Dis Everest? Nope, jus my litter box remodel!","Això és l'Everest? No, és la remodelació de la meva caixa de sorra!"
2025-12-15,"A stylish cat wearing a tiny, elaborate tea-party hat, surrounded by miniature teacups and saucers, all set on a plush pillow. The cat poses regally, with one paw elegantly resting on a teapot. Captured in the style of lomography fisheye with vivid colors, emphasizing the quirky charm of the scene.","Dis mah fancy tea pawty, u joinin?","Aquesta és la meva tetera sofisticada, vens a la festa?"
2025-12-16,"Two cats, one wearing a tiny blue UN peacekeeper helmet and the other donning a diplomat's sash, sitting on a globe-shaped cushion, discussing over a miniature treaty document. The scene is captured in the style of lomography fisheye with vivid colors.","Letz make peace, not scratchez!","Fem paws pau, no arranyades!"
2025-12-17,"A confident cat clad in a superhero cape, posing defiantly atop a cityscape backdrop of cardboard boxes mimicking skyscrapers. Lighting striking dramatically in the background. In the style of lomography fisheye with vivid colors.","Standin' tall, fightin' fur justice!",De peu i lluitant per la justícia!
2025-12-18,"A cat dressed as a globe-trotting adventurer, complete with a tiny suitcase and a camera, stands at a miniature airport terminal, gazing at a boarding gate. The scene is captured in the style of lomography fisheye with vivid colors.","New crib, who dis? Explorin' da worldz!","Nou cau, qui és? Explorant els mons!"
2025-12-19,"A cheerful cat wearing a tiny UN peacekeeper's beret, sitting atop a globe, surrounded by flags from various countries. The background features a festive, international fair setting. Captured in the style of lomography fisheye with vivid colors.","Soliderity iz our superpower! World peas, plz!","Solidaritat és la nostra superforça! Pau mundial, sisplau!"
2025-12-20,"A fluffy tabby cat wearing a tiny pilot's cap and goggles, sitting in a cardboard suitcase surrounded by postcards from around the world. The suitcase sits in an airport lounge, other cats with mini luggage stroll by. In the style of lomography fisheye with vivid colors.","Jus landed, wherez my catnip at?","Acabo d'aterrar, on és la meva herba-gat?"
2025-12-21,"A plump orange tabby cat doing the ""downward dog"" yoga pose on a small, vibrant yoga mat, surrounded by peaceful garden elements. The scene captures the essence with a lomography fisheye lens, emphasizing the stretching cat and blooming flowers around in vivid colors.","Stretchin' me whiskers, feelin' da zen.","Estirant els bigotis, sentint el zen."
2025-12-22,"A plump cat dressed in a miniature solar panel suit, lounging atop a sunny windowsill basking in the sunlight. The setting includes a small windmill toy by its side, all captured in the style of lomography fisheye with vivid colors.",Sunbathin' n savin' energyz… dis is da life!,Prendre el sol i estalviar energia... això sí que és vida!
2025-12-23,"A cat dressed as a diplomat with tiny glasses and a formal suit, sitting at a miniature round table covered with colorful flags from various countries. The table is outside under a palm tree, hinting at a tropical locale. All captured through a lomography fisheye lens, bursting with vivid colors.","Hooman, am here to negotiate moar treats!","Huma, estic aquí per negociar més premis!"
